PREF IBKR,CMON,BOND_,CRDT SCORE_,EX-DIV DATE,CALL DATE,MATUR DATE,DIV AMOUNT,COUPON,Aug2022_Price,Oct19_Price,CGRUP,Last Price,Oct19_diff,Aug2022_diff,SMA88,SMA268,SMA88 chg,SMA268 chg,6M Low,6M High,1Y Low,1Y High,TIME TO DIV,Div adj.price,6M_Low_diff,6M_High_diff,SMA88_chg_norm,SMA268_chg_norm,6M_Low_diff_norm,6M_High_diff_norm,Aug4_chg,Oct19_chg,Aug4_chg_norm,Oct19_chg_norm,1Y_High_diff,1Y_Low_diff,1Y_High_diff_norm,1Y_Low_diff_norm,ADV_6M,ADV_3M,ADV_15D,AVG_ADV,PREF YF,FF-FR_,CMON OUTS SHARES,CMON SECTOR,LAST PRICE,DIV ADJ.PRICE,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
F PRB,F,BB,9.5,11/12/2024,6/1/2024,,0.39,6.20%,26.79,20.83,c625,21.5,0.67,-5.29,21.35,23.28,0.71,-7.64,19.85,25.39,19.85,25.64,42.0,21.29,1.44,-4.1,43.369763,61.233596,51.780415,55.490196,-5.5,0.46,68.956522,68.344519,-4.35,1.44,57.081967,74.975124,43765,45803,48778,46115,,,,,,,,,,
F PRC,F,BB,9,11/12/2024,12/1/2024,,0.38,6.00%,25.99,20.49,c600,21.34,0.85,-4.65,20.94,22.9,1.9,-6.8,19.2,25.02,19.2,25.38,42.0,21.14,1.94,-3.88,37.589557,57.706037,39.910979,52.614379,-4.85,0.65,63.304348,66.644295,-4.24,1.94,55.639344,70.0,46984,44923,32399,41435,,,,,,,,,,
FBRT PRE,FBRT,,NR,12/27/2024,,,0.47,7.50%,21.68,18.2,c750,21.1,2.9,-0.58,20.62,21.43,2.34,-1.56,19.05,23.65,18.03,23.65,87.0,21.08,2.03,-2.57,35.452338,35.700787,37.774481,35.490196,-0.6,2.88,26.347826,46.689038,-2.57,3.05,33.737705,58.955224,13477,11659,7211,10782,,,,,,,,,,
FCNCO,FCNCA,,9.5,11/27/2024,,,0.35,5.63%,24.08,19.4,c550,23.26,3.86,-0.82,22.25,22.91,4.54,1.52,20.57,24.81,18.91,24.83,57.0,23.13,2.56,-1.68,24.766242,22.766404,25.192878,23.856209,-0.95,3.73,29.391304,39.082774,-1.7,4.22,22.327869,47.313433,12682,13862,23155,16566,,,,,,,,,,
FCNCP,FCNCA,,9.5,11/27/2024,,,0.34,5.38%,23.66,18.85,c525,21.6,2.75,-2.06,21.36,22.32,1.14,-3.21,19.3,24.42,18.69,24.42,57.0,21.48,2.18,-2.94,41.281117,42.629921,34.21365,40.326797,-2.18,2.63,40.086957,48.926174,-2.94,2.79,38.590164,61.542289,15429,19683,23231,19448,,,,,,,,,,
FHN PRF,FHN,,8.5,12/20/2024,,,0.29,4.70%,,,c475,17.35,,,17.5,18.33,-0.88,-5.36,16.41,21.48,13.13,21.48,80.0,17.32,0.91,-4.16,51.092896,51.658793,64.362018,56.27451,,,,,-4.16,4.19,54.590164,47.61194,6813,5474,8040,6776,,,,,,,,,,
FITBO,FITB,,10.5,12/26/2024,,,0.31,4.95%,25.79,17.93,c500,19.82,1.89,-5.97,21.3,21.71,-6.94,-8.7,19.52,24.15,17.58,24.15,86.0,19.81,0.29,-4.34,80.528233,65.685039,79.080119,58.627451,-5.98,1.88,73.130435,55.637584,-4.34,2.23,56.95082,67.114428,20069,21442,24469,21993,,,,,,,,,,
FITBP,FITB,,NR,12/26/2024,,,0.38,6.00%,25.6,22.13,c600,24.4,2.27,-1.2,24.4,24.49,-0.01,-0.37,23.04,25.56,21.01,25.9,86.0,24.38,1.34,-1.18,46.867031,30.703412,54.154303,17.320261,-1.22,2.25,31.73913,52.326622,-1.52,3.37,19.967213,55.771144,8135,9050,8836,8674,,,,,,,,,,
FRT PRC,FRT,,12.5,1/2/2025,,,0.31,5.00%,25.75,19.64,c500,20.3,0.66,-5.45,20.61,21.39,-1.53,-5.08,19.41,23.27,18.57,23.9,3.0,20.0,0.59,-3.27,54.250152,50.48294,71.958457,44.640523,-5.75,0.36,71.130435,69.239374,-3.9,1.43,51.180328,75.074627,5989,5439,2033,4487,,,,,,,,,,
FULTP,FULT,,11,12/2/2024,,,0.32,5.13%,23.1,15.09,c500,18.19,3.1,-4.91,19.02,19.25,-4.34,-5.51,17.25,21.22,14.56,21.22,62.0,18.09,0.84,-3.13,67.899211,52.288714,66.023739,42.810458,-5.01,3.0,64.695652,45.615213,-3.13,3.53,41.081967,54.179104,8553,6299,8954,7935,,,,,,,,,,
GAB PRG,GAB,,16,12/16/2024,,,0.31,5.00%,24.5,21.0,c500,20.52,-0.48,-3.98,21.09,21.81,-2.7,-5.92,20.17,24.0,20.17,24.2,76.0,20.47,0.3,-3.53,59.933212,54.010499,78.84273,48.039216,-4.03,-0.53,56.173913,77.203579,-3.73,0.3,48.95082,86.318408,4073,4911,2322,3769,,,,,,,,,,
GAB PRH,GAB,,16,12/16/2024,,,0.31,5.00%,23.89,20.98,c500,20.57,-0.41,-3.32,21.08,21.85,-2.43,-5.87,20.39,24.03,20.39,24.24,76.0,20.52,0.13,-3.51,58.621736,53.800525,82.878338,47.777778,-3.37,-0.46,50.434783,76.577181,-3.72,0.13,48.819672,88.00995,9143,10262,12839,10748,,,,,,,,,,
GAB PRK,GAB,,16,12/16/2024,,,0.31,5.00%,24.4,21.23,c500,20.54,-0.69,-3.86,21.1,21.86,-2.64,-6.04,20.48,24.17,20.48,24.25,76.0,20.49,0.01,-3.68,59.641773,54.514436,85.727003,50.0,-3.91,-0.74,55.130435,79.082774,-3.76,0.01,49.344262,89.20398,7201,8169,10328,8566,,,,,,,,,,
